OA11CD	supgrpcode	Total_Population
E00069517	6	313
E00069468	6	251
E00069528	6	270
E00069538	6	307
E00069174	6	321
E00069170	6	353
E00069171	6	351
E00068713	6	265
E00069005	6	391
E00069014	6	316
E00068989	6	354
E00068994	6	375
E00069065	6	346
E00069307	6	347
E00069314	6	259
E00069315	6	312
E00069318	6	311
E00069136	6	395
E00165826	6	269
E00165827	6	345
E00068753	6	268
E00069197	6	330
E00069199	6	281
E00069198	6	342
E00069022	6	383
E00069527	6	266
E00068845	6	343
E00068726	6	300
E00068724	6	276
E00068722	6	300
E00068732	6	368
E00068731	6	342
E00069166	6	329
E00069168	6	347
E00069169	6	392
E00069008	6	345
E00069009	6	287
E00069263	6	297
E00069172	6	288
E00069015	6	330
E00069515	6	270
E00068985	6	389
E00069156	6	397
E00068995	6	318
E00068993	6	293
E00069066	6	278
E00069064	6	360
E00069068	6	276
E00069131	6	338
E00069544	6	347
E00069545	6	281
E00068748	6	248
E00068743	6	308
E00068813	6	358
